Date,Open,High,Low,Close,Adj Close,Volume
2024-01-10,100.449997,103.500000,99.550003,103.050003,103.050003,110316122
2024-01-11,104.699997,109.300003,104.250000,106.849998,106.849998,191294222
2024-01-12,109.000000,114.000000,108.849998,113.400002,113.400002,199380642
2024-01-15,113.400002,113.400002,113.400002,113.400002,113.400002,0
2024-01-16,138.600006,146.800003,136.149994,141.850006,141.850006,492705331
2024-01-17,138.000000,150.699997,133.050003,149.100006,149.100006,336463589
2024-01-18,153.000000,155.000000,136.300003,146.250000,146.250000,272134347
2024-01-19,149.500000,160.850006,149.199997,160.250000,160.250000,266085180
2024-01-23,185.800003,192.800003,158.750000,161.300003,161.300003,269108130
2024-01-24,165.000000,173.300003,151.000000,171.899994,171.899994,198113352
2024-01-25,174.750000,178.300003,171.500000,173.850006,173.850006,100074798
2024-01-29,177.300003,178.300003,169.300003,170.850006,170.850006,74341987
2024-01-30,171.399994,172.149994,164.149994,166.649994,166.649994,69398771
2024-01-31,167.850006,176.800003,166.000000,175.149994,175.149994,84194726
2024-02-01,180.000000,183.250000,168.199997,169.899994,169.899994,165894732
2024-02-02,172.699997,175.000000,167.100006,168.949997,168.949997,61739734
2024-02-05,170.149994,170.199997,160.000000,160.550003,160.550003,68987316
2024-02-06,161.399994,164.199997,152.100006,160.899994,160.899994,81434112
2024-02-07,164.500000,165.899994,159.649994,162.500000,162.500000,36816341
2024-02-08,164.399994,164.399994,160.699997,161.949997,161.949997,34218693
2024-02-09,162.000000,162.000000,149.149994,153.699997,153.699997,64801528
2024-02-12,150.649994,151.050003,130.199997,132.949997,132.949997,128716009
2024-02-13,132.000000,156.300003,127.650002,153.449997,153.449997,240631230
2024-02-14,153.399994,157.399994,145.500000,154.300003,154.300003,152849830
2024-02-15,156.300003,161.500000,154.899994,158.899994,158.899994,77035160
2024-02-16,159.750000,161.399994,155.000000,155.449997,155.449997,41902227
2024-02-19,156.000000,164.350006,154.350006,158.649994,158.649994,87423359
2024-02-20,159.649994,160.750000,157.149994,158.500000,158.500000,35987220
2024-02-21,158.850006,160.399994,153.399994,154.199997,154.199997,35706625
2024-02-22,154.100006,155.850006,149.199997,152.199997,152.199997,39315419
2024-02-23,153.699997,156.399994,152.699997,153.199997,153.199997,34425812
2024-02-26,154.300003,156.399994,151.750000,152.300003,152.300003,35557532
2024-02-27,152.899994,156.649994,151.000000,151.600006,151.600006,43995103
2024-02-28,152.850006,153.399994,145.500000,147.399994,147.399994,39947465
2024-02-29,146.000000,150.250000,140.800003,146.750000,146.750000,63490121
2024-03-01,148.000000,151.399994,146.550003,147.399994,147.399994,30685800
2024-03-04,149.399994,149.500000,144.649994,145.550003,145.550003,22040025
2024-03-05,144.899994,148.399994,143.800003,145.050003,145.050003,23046386
2024-03-06,145.199997,145.699997,140.000000,140.500000,140.500000,26188126
2024-03-07,141.350006,144.399994,139.649994,143.699997,143.699997,24018294
2024-03-11,144.149994,147.250000,140.050003,141.100006,141.100006,24321115
2024-03-12,141.800003,142.399994,135.649994,136.750000,136.750000,34760039
2024-03-13,136.750000,138.800003,123.000000,124.250000,124.250000,88853047
2024-03-14,120.900002,142.500000,116.650002,140.250000,140.250000,194522257
2024-03-15,140.699997,145.850006,133.500000,136.949997,136.949997,122337843
2024-03-18,138.350006,139.600006,132.850006,134.949997,134.949997,56717160
2024-03-19,134.500000,137.399994,133.100006,135.199997,135.199997,46347136
2024-03-20,136.199997,138.199997,132.850006,133.199997,133.199997,39345072
2024-03-21,137.000000,137.649994,134.800003,135.250000,135.250000,35779582
2024-03-22,135.949997,145.199997,135.000000,140.949997,140.949997,112209659
2024-03-26,142.399994,148.699997,140.949997,145.699997,145.699997,120887716
2024-03-27,147.500000,150.949997,141.600006,142.850006,142.850006,89910843
2024-03-28,144.949997,147.800003,141.300003,142.350006,142.350006,50962525
2024-04-01,145.199997,146.750000,143.850006,144.800003,144.800003,47979360
2024-04-02,146.050003,148.149994,144.300003,146.100006,146.100006,59236883
2024-04-03,145.000000,147.800003,144.500000,145.300003,145.300003,42670072
2024-04-04,147.000000,148.300003,143.500000,143.750000,143.750000,38590096
2024-04-05,144.000000,149.399994,142.800003,147.850006,147.850006,81853830
2024-04-08,150.000000,152.500000,147.000000,147.500000,147.500000,57797243
2024-04-09,148.550003,149.350006,145.600006,147.199997,147.199997,38718449
2024-04-10,147.699997,148.550003,146.500000,146.699997,146.699997,20413452
2024-04-12,146.699997,147.699997,145.000000,145.300003,145.300003,27108905
2024-04-15,138.100006,142.000000,135.300003,140.250000,140.250000,49605843
2024-04-16,139.800003,142.600006,138.100006,141.699997,141.699997,25012121
2024-04-18,143.399994,145.449997,141.600006,141.949997,141.949997,24827547
2024-04-19,140.000000,142.250000,137.500000,141.000000,141.000000,28016383
2024-04-22,143.000000,145.000000,142.399994,144.100006,144.100006,23609150
2024-04-23,144.750000,148.199997,143.600006,147.750000,147.750000,41842082
2024-04-24,149.000000,150.449997,147.500000,149.000000,149.000000,44593104
2024-04-25,149.000000,152.000000,147.250000,150.250000,150.250000,43990323
2024-04-26,151.000000,159.000000,149.600006,158.050003,158.050003,131170998
2024-04-29,161.500000,164.199997,159.600006,160.899994,160.899994,67507054
2024-04-30,161.699997,161.850006,156.600006,157.250000,157.250000,49152158
2024-05-02,158.399994,161.199997,156.199997,158.899994,158.899994,37976109
2024-05-03,159.800003,160.500000,155.149994,157.000000,157.000000,31288231
2024-05-06,157.800003,158.199997,151.500000,155.649994,155.649994,40457121
2024-05-07,154.449997,155.100006,148.500000,149.800003,149.800003,29872858
2024-05-08,149.000000,153.750000,146.300003,152.250000,152.250000,25210562
2024-05-09,152.000000,152.899994,146.149994,147.050003,147.050003,21064246
2024-05-10,147.750000,149.550003,142.449997,148.050003,148.050003,27205055
2024-05-13,148.050003,148.449997,143.100006,145.899994,145.899994,20343612
2024-05-14,147.000000,158.000000,147.000000,157.300003,157.300003,65039211
2024-05-15,158.899994,159.800003,155.000000,155.449997,155.449997,45470586
2024-05-16,156.899994,159.500000,155.600006,157.649994,157.649994,44997396
2024-05-17,158.449997,170.500000,157.100006,169.000000,169.000000,189723845
2024-05-21,176.750000,182.000000,176.000000,179.449997,179.449997,165354884
2024-05-22,181.000000,183.699997,173.000000,175.649994,175.649994,93399530
2024-05-23,177.000000,191.649994,175.899994,186.500000,186.500000,215698925
2024-05-24,188.800003,190.800003,182.750000,184.000000,184.000000,87948476
2024-05-27,187.000000,192.800003,184.000000,184.550003,184.550003,87126920
2024-05-28,186.000000,187.750000,177.500000,180.250000,180.250000,79904182
2024-05-29,178.500000,181.750000,175.300003,180.300003,180.300003,54953818
2024-05-30,180.300003,182.100006,175.800003,176.600006,176.600006,43583688
2024-05-31,179.000000,179.850006,172.100006,177.800003,177.800003,56435354
2024-06-03,200.000000,200.000000,186.300003,188.949997,188.949997,112293004
2024-06-04,189.000000,189.000000,151.199997,164.949997,164.949997,198103673
2024-06-05,168.000000,175.000000,153.100006,166.449997,166.449997,114119168
2024-06-06,172.000000,177.899994,167.800003,173.050003,173.050003,70250205
